Connected On,Company Employee Range,Location,Person_ID,Company_Anon,Industry_Anon,Function
16 Sep 2019,,Kazakhstan,Person_184,Company_232,Industry_13,Legal/Compliance
16 Sep 2019,5001 to 10000,"Agrate Brianza, Lombardy, Italy",Person_185,Company_125,Industry_07,Engineering/Technical/Science
15 Sep 2019,11 to 50,Kazakhstan,Person_186,Company_221,Industry_04,Other
13 Sep 2019,,"Tallinn, Harjumaa, Estonia",Person_187,Company_398,Focus_Industry_1,Management
03 Sep 2019,201 to 500,"Luxembourg, Luxembourg, Luxembourg",Person_188,Company_285,Focus_Industry_4,Management
02 Sep 2019,,United Kingdom,Person_189,Freelance,Industry_05,Freelance
02 Sep 2019,,"Sainte-Marguerite, Grand Est, France",Person_190,Company_003,Industry_01,Other
26 Aug 2019,1001 to 5000,"Bratislava, Slovakia",Person_191,Company_160,Industry_09,Engineering/Technical/Science
16 Aug 2019,1001 to 5000,Kazakhstan,Person_192,Company_238,Industry_13,Communications
06 Aug 2019,,"Glasgow, Scotland, United Kingdom",Person_193,Company_273,Focus_Industry_2,Management
30 Jul 2019,10001+,"Chicago, Illinois, United States",Person_194,Company_071,Focus_Industry_3,Marketing
26 Jul 2019,10001+,"Stadt Hamburg, Hamburg, Germany",Person_195,Freelance,Industry_12,Freelance
26 Jul 2019,,Lebanon,Person_195,Freelance,Industry_05,Freelance
27 Jul 2012,10001+,"Stadt Hamburg, Hamburg, Germany",Person_195,Company_235,Industry_12,Engineering/Technical/Science
27 Jul 2012,,Lebanon,Person_195,Company_235,Industry_05,Engineering/Technical/Science
09 Jul 2019,,"Tours, Centre-Val de Loire, France",Person_196,Company_415,Focus_Industry_4,Management
03 Jul 2019,11 to 50,Russia,Person_197,Company_018,Industry_04,Management
24 Jun 2019,,"Milan, Lombardy, Italy",Person_198,Company_079,Industry_04,Management
17 Jun 2019,10001+,Kazakhstan,Person_199,Company_278,Focus_Industry_2,Management
17 Jun 2019,201 to 500,"Milan, Lombardy, Italy",Person_200,Company_172,Industry_06,IT/Data/Digital
16 May 2019,2 to 10,Greater Toulouse Metropolitan Area,Person_201,Company_275,Industry_05,Marketing
